,Trial,Block,Subject,Original_trial,Condition,Perturb_type,Perturb_size,Perturb_bip,Valid_trial,Message,Error
163,5,0,2,5,0,0,-50,17,0,;SB;FB;NB;A125;I500;n35;P-50;B17;T0;X,NoFirstResp
164,6,0,2,6,3,0,20,20,1,;SB;FB;NB;A125;I500;n35;P20;B20;T0;X,NoError
165,7,0,2,7,1,0,-20,17,1,;SB;FB;NB;A125;I500;n35;P-20;B17;T0;X,NoError
166,8,0,2,8,2,0,0,17,0,;SB;FB;NB;A125;I500;n35;P0;B17;T0;X,NonAssignedResp
167,9,0,2,9,3,0,20,21,0,;SB;FB;NB;A125;I500;n35;P20;B21;T0;X,NonAssignedResp
168,10,0,2,10,2,0,0,17,0,;SB;FB;NB;A125;I500;n35;P0;B17;T0;X,NonAssignedResp
169,11,0,2,11,0,0,-50,20,0,;SB;FB;NB;A125;I500;n35;P-50;B20;T0;X,NonAssignedResp
170,12,0,2,12,1,0,-20,19,1,;SB;FB;NB;A125;I500;n35;P-20;B19;T0;X,NoError
171,13,0,2,13,2,0,0,17,0,;SB;FB;NB;A125;I500;n35;P0;B17;T0;X,NonAssignedResp
172,14,0,2,14,1,0,-20,19,1,;SB;FB;NB;A125;I500;n35;P-20;B19;T0;X,NoError
173,15,0,2,15,1,0,-20,18,1,;SB;FB;NB;A125;I500;n35;P-20;B18;T0;X,NoError
174,16,0,2,16,3,0,20,21,0,;SB;FB;NB;A125;I500;n35;P20;B21;T0;X,NonAssignedResp
175,17,0,2,17,3,0,20,21,1,;SB;FB;NB;A125;I500;n35;P20;B21;T0;X,NoError
176,18,0,2,18,1,0,-20,20,1,;SB;FB;NB;A125;I500;n35;P-20;B20;T0;X,NoError
177,19,0,2,19,2,0,0,17,0,;SB;FB;NB;A125;I500;n35;P0;B17;T0;X,NonAssignedResp
178,20,0,2,5,0,0,-50,17,1,;SB;FB;NB;A125;I500;n35;P-50;B17;T0;X,NoError
179,21,0,2,8,2,0,0,17,0,;SB;FB;NB;A125;I500;n35;P0;B17;T0;X,NonAssignedResp
180,22,0,2,9,3,0,20,21,1,;SB;FB;NB;A125;I500;n35;P20;B21;T0;X,NoError
181,23,0,2,10,2,0,0,17,0,;SB;FB;NB;A125;I500;n35;P0;B17;T0;X,NonAssignedResp
182,24,0,2,11,0,0,-50,20,0,;SB;FB;NB;A125;I500;n35;P-50;B20;T0;X,NonAssignedResp
183,25,0,2,13,2,0,0,17,0,;SB;FB;NB;A125;I500;n35;P0;B17;T0;X,NonAssignedResp
184,26,0,2,16,3,0,20,21,1,;SB;FB;NB;A125;I500;n35;P20;B21;T0;X,NoError
185,27,0,2,19,2,0,0,17,0,;SB;FB;NB;A125;I500;n35;P0;B17;T0;X,SkipStim
186,28,0,2,8,2,0,0,17,0,;SB;FB;NB;A125;I500;n35;P0;B17;T0;X,SkipStim
187,29,0,2,10,2,0,0,17,0,;SB;FB;NB;A125;I500;n35;P0;B17;T0;X,NonAssignedResp
188,30,0,2,11,0,0,-50,20,0,;SB;FB;NB;A125;I500;n35;P-50;B20;T0;X,NonAssignedResp
189,31,0,2,13,2,0,0,17,1,;SB;FB;NB;A125;I500;n35;P0;B17;T0;X,NoError
190,32,0,2,19,2,0,0,17,0,;SB;FB;NB;A125;I500;n35;P0;B17;T0;X,NonAssignedResp
191,33,0,2,8,2,0,0,17,1,;SB;FB;NB;A125;I500;n35;P0;B17;T0;X,NoError
192,34,0,2,10,2,0,0,17,1,;SB;FB;NB;A125;I500;n35;P0;B17;T0;X,NoError
193,35,0,2,11,0,0,-50,20,0,;SB;FB;NB;A125;I500;n35;P-50;B20;T0;X,SkipStim
194,36,0,2,19,2,0,0,17,1,;SB;FB;NB;A125;I500;n35;P0;B17;T0;X,NoError
195,37,0,2,11,0,0,-50,20,1,;SB;FB;NB;A125;I500;n35;P-50;B20;T0;X,NoError
196,0,1,2,0,4,0,50,18,0,;SB;FB;NB;A125;I500;n35;P50;B18;T0;X,NonAssignedResp
197,1,1,2,1,1,0,-20,20,1,;SB;FB;NB;A125;I500;n35;P-20;B20;T0;X,NoError
198,2,1,2,2,2,0,0,18,1,;SB;FB;NB;A125;I500;n35;P0;B18;T0;X,NoError
199,3,1,2,3,0,0,-50,19,1,;SB;FB;NB;A125;I500;n35;P-50;B19;T0;X,NoError
200,4,1,2,4,4,0,50,17,0,;SB;FB;NB;A125;I500;n35;P50;B17;T0;X,NonAssignedResp
201,5,1,2,5,2,0,0,18,1,;SB;FB;NB;A125;I500;n35;P0;B18;T0;X,NoError
202,6,1,2,6,2,0,0,21,1,;SB;FB;NB;A125;I500;n35;P0;B21;T0;X,NoError
203,7,1,2,7,4,0,50,18,1,;SB;FB;NB;A125;I500;n35;P50;B18;T0;X,NoError
204,8,1,2,8,0,0,-50,19,1,;SB;FB;NB;A125;I500;n35;P-50;B19;T0;X,NoError
205,9,1,2,9,4,0,50,20,1,;SB;FB;NB;A125;I500;n35;P50;B20;T0;X,NoError
206,10,1,2,10,1,0,-20,18,1,;SB;FB;NB;A125;I500;n35;P-20;B18;T0;X,NoError
207,11,1,2,11,2,0,0,20,1,;SB;FB;NB;A125;I500;n35;P0;B20;T0;X,NoError
208,12,1,2,12,1,0,-20,20,1,;SB;FB;NB;A125;I500;n35;P-20;B20;T0;X,NoError
209,13,1,2,13,0,0,-50,21,1,;SB;FB;NB;A125;I500;n35;P-50;B21;T0;X,NoError
210,14,1,2,14,0,0,-50,21,1,;SB;FB;NB;A125;I500;n35;P-50;B21;T0;X,NoError
211,15,1,2,15,4,0,50,20,0,;SB;FB;NB;A125;I500;n35;P50;B20;T0;X,NonAssignedResp
212,16,1,2,16,0,0,-50,17,1,;SB;FB;NB;A125;I500;n35;P-50;B17;T0;X,NoError
213,17,1,2,17,2,0,0,18,1,;SB;FB;NB;A125;I500;n35;P0;B18;T0;X,NoError
214,18,1,2,18,3,0,20,21,1,;SB;FB;NB;A125;I500;n35;P20;B21;T0;X,NoError
215,19,1,2,19,3,0,20,17,1,;SB;FB;NB;A125;I500;n35;P20;B17;T0;X,NoError
216,20,1,2,0,4,0,50,18,1,;SB;FB;NB;A125;I500;n35;P50;B18;T0;X,NoError
217,21,1,2,4,4,0,50,17,0,;SB;FB;NB;A125;I500;n35;P50;B17;T0;X,NonAssignedResp
218,22,1,2,15,4,0,50,20,0,;SB;FB;NB;A125;I500;n35;P50;B20;T0;X,NonAssignedResp
219,23,1,2,4,4,0,50,17,0,;SB;FB;NB;A125;I500;n35;P50;B17;T0;X,NonAssignedResp
220,24,1,2,15,4,0,50,20,0,;SB;FB;NB;A125;I500;n35;P50;B20;T0;X,NonAssignedResp
221,25,1,2,4,4,0,50,17,0,;SB;FB;NB;A125;I500;n35;P50;B17;T0;X,NonAssignedResp
222,26,1,2,15,4,0,50,20,1,;SB;FB;NB;A125;I500;n35;P50;B20;T0;X,NoError
223,27,1,2,4,4,0,50,17,1,;SB;FB;NB;A125;I500;n35;P50;B17;T0;X,NoError
224,0,2,2,0,4,0,50,21,1,;SB;FB;NB;A125;I500;n35;P50;B21;T0;X,NoError
225,1,2,2,1,2,0,0,17,1,;SB;FB;NB;A125;I500;n35;P0;B17;T0;X,NoError
226,2,2,2,2,4,0,50,18,1,;SB;FB;NB;A125;I500;n35;P50;B18;T0;X,NoError
227,3,2,2,3,3,0,20,21,1,;SB;FB;NB;A125;I500;n35;P20;B21;T0;X,NoError
228,4,2,2,4,1,0,-20,19,1,;SB;FB;NB;A125;I500;n35;P-20;B19;T0;X,NoError
229,5,2,2,5,3,0,20,19,0,;SB;FB;NB;A125;I500;n35;P20;B19;T0;X,SkipStim
230,6,2,2,6,4,0,50,19,0,;SB;FB;NB;A125;I500;n35;P50;B19;T0;X,SkipStim
231,7,2,2,7,4,0,50,21,1,;SB;FB;NB;A125;I500;n35;P50;B21;T0;X,NoError
232,8,2,2,8,0,0,-50,19,0,;SB;FB;NB;A125;I500;n35;P-50;B19;T0;X,SkipStim
233,9,2,2,9,2,0,0,18,1,;SB;FB;NB;A125;I500;n35;P0;B18;T0;X,NoError
234,10,2,2,10,3,0,20,19,1,;SB;FB;NB;A125;I500;n35;P20;B19;T0;X,NoError
235,11,2,2,11,0,0,-50,21,1,;SB;FB;NB;A125;I500;n35;P-50;B21;T0;X,NoError
236,12,2,2,12,3,0,20,18,1,;SB;FB;NB;A125;I500;n35;P20;B18;T0;X,NoError
237,13,2,2,13,4,0,50,19,1,;SB;FB;NB;A125;I500;n35;P50;B19;T0;X,NoError
