Relative_beep,Type,Sign,Asyn_norm,StdDesv_norm,IOI,Porcentage,Perturb_size,n_subj
5,SC,neg,-0.00822145140921,0.05223862422631,600,15,-90,6
6,SC,neg,0.00210102598537,0.06417888119233,600,15,-90,6
7,SC,neg,-0.00697732673233,0.05522160101033,600,15,-90,6
8,SC,neg,-0.0175502990283,0.0626863490716,600,15,-90,6
9,SC,neg,-0.0161830143582,0.0552216010103,600,15,-90,6
10,SC,neg,-0.0103402207834,0.0776158451941,600,15,-90,6
11,SC,neg,-0.0119559128974,0.0597012848301,600,15,-90,6
0,PS,pos,-0.128041374801,0.0403988619844,600,15,90,6
1,PS,pos,0.08879235387,0.073314366405,600,15,0,6
2,PS,pos,0.0497624496553,0.0643389283457,600,15,0,6
3,PS,pos,0.0047517025021,0.0718201990832,600,15,0,6
4,PS,pos,-0.0178194060894,0.0568618312593,600,15,0,6
5,PS,pos,-0.0104591712519,0.0493763868697,600,15,0,6
6,PS,pos,-0.00609353153542,0.05985016590262,600,15,0,6
7,PS,pos,-0.0137000118253,0.058353911755,600,15,0,6
8,PS,pos,0.00562608254092,0.06733143664048,600,15,0,6
9,PS,pos,-0.00646916019171,0.06882769078801,600,15,0,6
10,PS,pos,-0.00659645656968,0.05835391175508,600,15,0,6
11,PS,pos,-0.00522541197421,0.06284476102371,600,15,0,6
0,SC,pos,-0.116096383531,0.0673335234666,600,15,90,6
1,SC,pos,-0.0458976481472,0.0748147942041,600,15,90,6
2,SC,pos,0.00634812429135,0.07930146982105,600,15,90,6
3,SC,pos,0.0166966937722,0.05536140346,600,15,90,6
4,SC,pos,0.0180677383677,0.0628426741978,600,15,90,6
5,SC,pos,0.0149521073463,0.0568597444334,600,15,90,6
6,SC,pos,0.0193177470628,0.0822918912902,600,15,90,6
7,SC,pos,0.014703775068,0.0673314366405,600,15,90,6
8,SC,pos,0.00859354892563,0.05985225272857,600,15,90,6
9,SC,pos,0.0174458642589,0.0763110483518,600,15,90,6
10,SC,pos,0.0128318922641,0.0673293498147,600,15,90,6
11,SC,pos,-0.00525045388463,0.05685974443343,600,15,90,6
